Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/21/2025 12:00:00 AM,0.0380859374990905,0,0,0,0,0,0,0,0,0.12458425713703,0
2/21/2025 1:00:00 AM,0.0371093317417035,0.0625,0,0,0,0,0,0.125,0,0.000415742862969637,0.25
2/21/2025 2:00:00 AM,0.0380582682300883,0,0,0.03125,0,0,0.25,0.125,0,0.249861265299842,0.124584717443213
2/21/2025 3:00:00 AM,0.0376220703119543,0,0,0,0.125,0,0,0,0,0.000138734700158238,0.125415282556787
2/21/2025 4:00:00 AM,0.0371191406247817,0.09375,0,0.0625,0,0,0,0,0,0,0.125
2/21/2025 5:00:00 AM,0.0370838669741715,0,0,0,0,0,0,0,0,0,0.125
2/21/2025 6:00:00 AM,0.0385867708300793,0,0,0.03125,0,0,0.25,0.125,0,0.125,0.125
2/21/2025 7:00:00 AM,0.738513012558542,0.778112444095314,3.5,2.46718749997672,10.3125,0,6,2.375,0,5.125,8.62249999982305
2/21/2025 8:00:00 AM,5.82579627403811,6.68938755593263,21.875,19.7996874999953,64.5,0,16.375,20.3679245281965,0,34.088601278374,42.252500000177
2/21/2025 9:00:00 AM,10.5900070547659,11.8430208333302,37.375,33.0737500000396,115.8125,0,6.37416527513415,23.6320754718035,0,43.911398721626,80.5
2/21/2025 10:00:00 AM,14.0028937604511,15.2810416666325,44.125,39.0906250000116,139.125,0,5.12458472512662,48.125,0,82.125,103.356666666456
2/21/2025 11:00:00 AM,16.0217064694816,16.9060416666907,47.5,42.1943749999627,149.5,0,4.37624999973923,42.7379300778266,0,91.1019567763433,115.873815061059
2/21/2025 12:00:00 PM,16.2000940635453,17.2141898532282,47.25,41.6664604271646,149,0,5,32.7620699221734,0,81.3874405450188,118.37535160617
2/21/2025 1:00:00 PM,15.3716463548817,16.1612201941316,43.125,37.9888520728564,135.75,0,4.24916943535209,40.875,0,74.7028231092263,110.627083333209
2/21/2025 2:00:00 PM,12.6980134577443,11.9697982859216,31.25,27.5610937500023,97.0625,0,4.25083056464791,32.75,0,53.6763906804845,82.7499999998836
2/21/2025 3:00:00 PM,8.38643162115932,7.0317708333605,17.625,16.0036031721393,56.75,0,4,26.3712541621644,0,30.874864656711,49.1379305092851
2/21/2025 4:00:00 PM,1.61970352730441,1.96906249999302,5.75,4.64124057785375,17.78125,0,4,6.1287458378356,0,9.13013611431234,13.1274916941766
2/21/2025 5:00:00 PM,0.0842698816441043,0.0626041666837409,0.5,0.388124999997672,1.0625,0,1,0.625,0,0.626388117903844,1.37666112976149
2/21/2025 6:00:00 PM,0.0414698401173155,0,0,0.03125,0,0,0,0,0,0,0.125
2/21/2025 7:00:00 PM,0.0400471734847088,0.03125,0,0.03125,0,0,0.25,0.125,0,0.124584717676044,0.125
2/21/2025 8:00:00 PM,0.0410221137863118,0.03125,0,0,0,0,0,0.125,0,0.250415282323956,0.125
2/21/2025 9:00:00 PM,0.0410350697329704,0.03125,0,0.03125,0,0,0,0,0,0.124861111165956,0.25
2/21/2025 10:00:00 PM,0.041015625,0.03125,0,0,0,0,0.25,0,0,0.000138888834044337,0
2/21/2025 11:00:00 PM,0.041015625,0.03125,0,0.03125,0.125,0,0,0,0,0,0.25
2/22/2025 12:00:00 AM,0.0414843750004366,0,0.125,0.03125,0.125,0,0,0.125,0,0.125,0
2/22/2025 1:00:00 AM,0.0419921875,0.0625,0,0,0,0,0.25,0.125,0,0.125,0.25
2/22/2025 2:00:00 AM,0.0410155379040589,0,0,0.03125,0,0,0,0,0,0,0
2/22/2025 3:00:00 AM,0.0419921875,0.03125,0,0.03125,0,0,0,0,0,0.125,0.25
2/22/2025 4:00:00 AM,0.041022157191037,0,0,0,0,0,0.25,0.125,0,0,0.124584717676044
2/22/2025 5:00:00 AM,0.0429818143811644,0.03125,0,0.03125,0,0,0,0,0,0.125,0.00041528232395649
2/22/2025 6:00:00 AM,0.0390657769812606,0.0625,0.25,0.107343750016298,0.625,0,0.5,0.125,0,0.499583333265036,0.374583333265036
2/22/2025 7:00:00 AM,1.41958055715259,1.78125,7.125,4.24734374997206,16.28125,0,12.2425249167718,4.875,0,10.1193123382982,14.625416666735
2/22/2025 8:00:00 AM,6.08047985472422,6.84249999996973,26,24.3287295854534,78.71875,0,12.7574750832282,26.617508324096,0,40.0061043284368,53.125
2/22/2025 9:00:00 AM,10.7567104214577,12.218125000014,38.125,33.5572545563336,118.1875,0,5.5,24.132491675904,0,62.0696580372751,83.2350000001024
2/22/2025 10:00:00 AM,13.9939640326511,15.4035343505675,44.5,39.1403917910648,139.25,0,0.25,38,0,75.0336877820082,104.23462486139
